P06400,Q14186
P06400,Q13547
P06400,Q01094
P06400,Q00987
P20226,P05412
P20226,Q16533
P20226,P01100
P20226,Q01094
P22681,P68036
P22681,P00533
P22681,P43403
P22681,P62837
P06213,P01308
P31946,P04049
P31946,P62258
P04049,P63104
P04049,P01111
P04049,Q02750
P04049,P15056
P04049,P10398
P04049,O14807
P04049,P01116
Q92793,P16220
Q92793,Q9Y265
Q92793,P04637
Q92793,Q14653
Q92793,Q13469
Q92793,P62805
P01584,Q9NPH3
Q00987,P04637
Q00987,P49407
Q00987,Q9UER7
P04637,Q16594
P04637,P49848
P04637,P06493
P04637,P27694
P04637,P63165
P04637,Q9UER7
P04637,O14980
P04637,Q13155
P04637,Q9Y297
P04637,P07900
P04637,P61956
P04637,P49407
P04637,O60341
P04637,Q92769
P04637,Q15291
P04637,P61964
P04637,Q9UBL3
P04637,Q06330
P42345,Q8N122
P42345,Q9BVC4
P42345,Q8WUA4
P42345,O75385
Q16594,P49848
Q16594,P01106
Q16594,Q15542
P00533,Q13596
P00533,P01133
P00533,P04626
P00533,Q96FE5
P27797,P13747
P27797,P02675
P13747,P61769
P08069,P05019
P15056,P10398
P15056,P01111
P15056,Q02750
Q14186,P28749
Q14186,Q15329
Q14186,Q01094
Q03405,P00749
P63211,P62873
P05556,P06756
P05556,P08648
P06493,P24385
P06493,P61024
P06493,P14635
P06493,P20248
P06493,P50613
P06493,Q99741
P06493,P46527
P32927,P04141
P32927,P08700
P32927,P42336
P04141,P15509
P28749,Q13547
P20248,P24941
P20248,P38936
P20248,P12004
P20248,P46527
P24385,P61024
P24385,P24941
P24385,P38936
P24385,P11802
P24385,Q5XUX0
P61024,P24941
P24941,P12004
P24941,P18858
P24941,P50613
P24941,P38936
P24941,P46527
P11802,P30279
P11802,P07900
P11802,P38936
P11802,P46527
P11802,Q16543
P11802,P50613
P05412,P49841
P05412,P01100
P05412,Q13330
P36896,P08476
P24588,Q08209
P40189,P05231
P17181,P48551
P17181,P01563
P08700,P26951
Q01094,P19838
Q01094,Q13547
P19838,O00255
P19838,Q9Y6K9
P19838,P25963
P19838,Q04206
P62873,P59768
Q13216,Q03468
P05067,P49768
P05231,P08887
P01579,P15260
P08514,P05106
P08514,P21333
P05106,P06756
P05106,P21333
P35222,Q9Y265
P35222,Q9NQB0
P35222,P25054
P35222,O15169
P35222,Q9Y297
P35222,P35869
P35222,Q16531
P35222,Q8TEK3
P35222,O14746
P35222,P40337
P35222,Q04206
P35869,P07900
P35869,Q16531
P07900,P04150
P07900,Q15185
P07900,Q9Y6K9
P07900,Q9H6T3
P07900,P04626
P14784,P60568
P14784,P31785
P60568,P31785
Q04206,O00255
Q04206,P25963
Q04206,Q9Y2K7
P25963,Q9UKB1
P25963,Q13616
P25963,Q9Y6K9
P25963,P63208
P25963,P25098
P48551,P01563
Q15185,P08238
P19793,Q15596
P19793,P37231
P19793,P55055
P38936,P12004
P36873,Q13362
P49841,O15169
P49841,P01106
P49768,P21333
P49768,P62491
P21333,P49450
P12004,P39748
P01374,P36941
P01374,Q06643
Q30201,P02786
Q30201,P61769
P02786,P61769
P05112,P24394
P24394,P35225
P35225,P78552
P22301,Q13651
P22301,Q08334
P05230,P22607
P05230,P11362
P05230,P22455
P11362,Q9GZV9
P42702,P15018
P36894,P12643
P36894,Q13873
P12643,Q13873
P12643,Q6NW40
P13501,P51681
P37173,P10600
P37173,P37023
P37173,P01137
P37173,P36897
P10600,P36897
P10600,P37023
P61769,P55899
P61769,Q95460
P61769,P15813
P36897,P01137
P01137,P37023
P50613,O00267
P63098,Q08209
Q08209,O95644
Q08209,Q13469
P68036,Q9Y4X5
P38117,P13804
P55899,P02768
P12319,P01854
P52292,P52298
Q12933,Q13077
P62877,Q13616
P62877,Q13309
P62877,P61081
P62877,Q13618
P62877,Q16531
Q13616,Q9UKB1
Q13616,Q9Y297
Q13616,Q86VP6
Q13616,Q15843
Q13616,Q13309
Q13616,Q5XUX0
Q13616,Q96GG9
Q13616,P46527
Q13547,Q92769
Q13547,Q9UKL0
Q13547,O60341
Q13547,P0C0S8
P35244,P15927
P35244,P27694
